建物名	住所	標高	構造	階数
ティープリモ権現町	権現町81	6	RC	5
宮崎観光ホテル東館	松山1丁目1-1	5.3	SRC	13
TYⅡマンション	江平中町1-10	5.5	RC	6
セ・ラ・ヴィ柳丸	柳丸町120	5.8	RC	7
コアマンション柳丸	柳丸町41	6.4	RC	9
県警職員宿舎吾妻職員宿舎	吾妻町90	4.6	RC	5
ル・グラン柳丸	柳丸町81-1	6	RC	11
グランピア大橋	大橋3丁目137-１	5.8	SRC	10
フローラルコート	祗園3丁目174	7.1	RC	4
アルカディア祇園	祇園1丁目76	7.6	RC	5
アドミラブール	和知川原3丁目105-1	6	RC	4
コーポ霧島	霧島2丁目152	6.6	RC	3
アムール霧島	霧島2丁目93	8.1	RC	3
UMK宮崎ビル	大橋3丁目101-１	5.9	SRC	10
サーパス中津瀬	中津瀬町85	6.4	RC	10
グランドヒルズ船塚	船塚2丁目3	8.2	RC	5
アルテール	和知川原2丁目137-1	7.5	RC	3
アスター丸山	丸山2丁目31	8	RC	3
宮崎グリーンホテル	大橋2丁目36-1	6.4	RC	8
宮崎銀行文化公園共同住宅Ａ棟	船塚3丁目170	8.6	RC	5
宮崎銀行文化公園共同住宅Ｂ棟	船塚3丁目171	8.6	RC	7
サーパス大橋	大橋3丁目107-1	5.3	RC	11
グランドゥールシュウ	和知川原1丁目71-2	7	RC	3
アンソレイエＡ棟	和知川1丁目35-2	7	RC	3
アンソレイエＢ棟	和知川原1丁目35-1	7	RC	3
祇園保育園	霧島2丁目216	6.5	RC	2
サーパス大橋第2	大橋3丁目165-1	5.5	RC	11
市営住宅鶴島団地1棟	鶴島3-91	5.2	RC	5
市営住宅小戸団地3棟	鶴島3-125	4.4	RC	5
県営住宅小戸4棟	鶴島3丁目159	4.4	RC	7
宮崎医療センター病院	高松町2-16	6	SRC	8
ロイヤル末広	末広2丁目35	6.8	RC	5
ＴＩＰマンション	橘通西1丁目5-30	6	RC	14
CalnaCourt	松橋1丁目16-11	5.1	RC	4
ジュネシス大島A	大島町平原966-1	6.3	RC	3
ジュネシス大島B	大島町平原966-1-2	6.3	RC	3
ジュネシス大島C	大島町平原989-1-1	6.3	RC	3
ジュネシス大島D	大島町平原989-1-2	6.3	RC	3
フラワーコーポ	東大宮2丁目1-23	6.5	RC	3
宮崎和裁会館	大島町東ノ前1143-1	6	RC	5
サンコート大島A	大島町平原977-1-1	6.3	RC	3
サンコート大島B	大島町平原977-1-2	6.3	RC	3
サンコート大島C	大島町平原980	6.3	RC	3
市営住宅北ノ原団地1棟	大島町北ノ原1011	9.9	RC	4
市営住宅南窪団地3棟	宮崎市大島町南窪874	11.3	RC	3
イオンモール宮崎	新別府町江口862-1	3.5	S	2
リベラル一ツ葉マンション	小戸町104-1	4.8	RC	11
サンジェルマンⅠ	新城町23-2	4.8	SRC	7
宮崎善仁会病院	新別府町江口950	3.4	RC	4
イルパラッソ曽師	吉村町曽師中甲3097-2	4.2	RC	3
小川コーポ101	吉村町下別府乙7-5	3.6	RC	4
小川コーポ102	吉村町下別府乙6-10	3.2	RC	3
清野ビル	日ノ出町46-1	3.2	RC	6
KIYONO第2ビル	吉村町下別府乙19	5.2	RC	3
清水ハイツ	一の宮町3	4.3	RC	4
押川マンション	一の宮町45-1	3.4	RC	4
岩切ハイツ101	日ノ出町33-2	3.4	RC	4
メゾン清水ハイツ	一の宮町14	4.4	RC	4
エアフォルク	日ノ出町141	2.6	RC	3
シーガイア・コンベンションセンター	山崎町浜山	9	SRC	5
第一ビル管理	吉村町大町甲1990	5.9	RC	3
野中建設ビル	出来島町14-1	3.8	RC	5
野中マンション	出来島町193-5	3.8	RC	6
ユーミーハイツ	出来島町21	3.8	RC	4
第2ユーミーハイツ	出来島町18-2	3.7	RC	4
コーポ雅	出来島町43-2	3.9	RC	3
NAビル	吉村町上西中甲1387-6	6.5	RC	7
カームプレイス	吉村町上西中甲1386-8	6.5	RC	5
ぐらんしゅうる・Ａ	吉村町上西中甲1382-2	5.2	RC	3
プランドール井之上	吉村町長田甲2374-2	3.3	RC	3
市営住宅一の宮団地1棟	一の宮町30-1	3.2	RC	5
県営住宅青葉3棟	吉村町境目甲1488-1	5.7	SRC	7
アメニティ谷口	出来島町111-1	4.5	RC	4
県警職員宿舎飛翔独身寮	吉村町下り松甲2461	4.3	RC	4
県警職員宿舎吉村職員宿舎	吉村町西田甲682	5	RC	3
県民共済ビル	宮脇町127-1	5.9	RC	5
ユタカビル	稗原町1-1	3.2	RC	4
クリオ90	大王町59	3.4	RC	6
ピーチフローレⅠ	吉村町北中甲1228	5	RC	3
ピーチフローレⅡ	吉村町北中甲1225	5	RC	3
ピーチフローレⅢ	吉村町北中甲1234-5	5	RC	7
ピーチフローレⅤ	吉村町北中甲1237	4.7	RC	3
M'ｓフローリッシュ	吉村町南田甲1058-1	5.1	RC	7
サンライズ西中	吉村町西中甲1328-1	4.7	RC	3
Ｂrook'sSquare	Ⅱ吉村町下藪甲4353-2	3.6	RC	6
医療法人尚成会近間病院	山崎町965-6	10	S	2
ラグゼ一ツ葉	山崎町浜山	6.7	SRC	12
ルミエール吉村Ａ棟	吉村町引土甲624	5	RC	4
ルミエール吉村Ｂ棟	吉村町引土甲624	5	RC	4
宮崎県水産会館	港2-6	4.8	RC	5
介護付有料老人ホームソフトタウン高洲	高洲町235-3	3.8	RC	3
リバーサイド高洲	高洲町302-4	2.8	RC	5
ラーバンハイツ	高洲町228-2	2.7	RC	4
サン・トール	一の宮町56-1	4	RC	6
ウィークリーマンションサンシーズ	高洲町14-6	2.7	RC	7
公務員住宅潮見住宅（1～3号棟）	潮見町110-1	3	RC	5
公務員住宅潮見西住宅	潮見町16-2	3.3	RC	3
公務員住宅昭和住宅	昭和町1	3.9	RC	5
シティーウイング	高洲町66-6	3.1	RC	7
マンション津守Ⅱ	高洲町138-2	2.4	RC	5
マンション児玉	高洲町133-1	2.7	RC	6
日ノ出マンション	日ノ出町45-1	3.8	RC	8
S・ASAGIRI	昭栄町113	3.2	RC	4
オメガシティー宮崎Ⅰ	高洲町107	2.3	RC	8
エラン宮崎Ⅰ番館	田代町179-1	3.3	RC	8
エラン宮崎Ⅱ番館	田代町179-3	3.3	RC	8
コスタ吉村	吉村町寺ノ下甲2290	4	RC	4
マンションリヴレ	高洲町268-10	3	SRC	11
マンションセゾン	田代町8	3.9	RC	8
グランドパレス青葉	吉村町北原甲1476-1	5	RC	8
宮崎県総合自動車運転免許センター	阿波岐原町前浜4276-5	4.4	S	3
㈱マルハン宮崎店立体駐車場	吉村町内柿元甲1066	4.6	RC	3
宮崎県生コンクリート工業組合技術研修センター	新別府町薦藁1948	3.9	RC	2(屋上あり)
センチュリーコート8番館	昭栄町127	2.9	RC	8
ラヴィドール	新栄町64	1.4	RC	4
エアフォルクⅢ	新栄町113	1.2	RC	4
昭和町Nビル	昭和町76-2	4.2	RC	5
シャンテ一の宮	一の宮町79	3.6	RC	3
アレグリア	田代町87-1	3.8	RC	8
リーノ壱番館	田代町116-1	3.6	RC	4
アミリアコート	吉村町今村甲4188-16	3.6	RC	4
ファミリアOdo	小戸町83-１	2.9	RC	4
ウエストコーストⅢ	大王町96	4.3	RC	4
コーラルリーフ	中西町137-12、137-14	3.3	RC	3
アンシャンテ・S	新栄町63	2.9	RC	8
ヴィラプレポール	昭栄町86-2	3.1	RC	4
ケイアイビル	中西町193-1	3.5	RC	3
ユーミーなでしこA・B	中西町107-1	3.2	RC	3
フジマンション	中西町276	3.1	RC	3
住宅型有料老人ホームいちごの里	新城町44	5	RC	4
サンローズ	吉村町北中甲1267-1	4.1	RC	2
市営住宅大淀団地1棟	大淀1-1-24	5.5	RC	6
県営住宅源藤5棟	源藤町原田318-1	5.3	RC	5
宿さつま荘	太田3丁目6-9	5.9	RC	3
グリーンハイツ奥野	太田2丁目3-6	6.8	RC	5
藤井第2ビル	太田4丁目1-41	6.5	RC	3
ライフシティ谷川	谷川1丁目4-22	6.1	RC	3
ワコ-ハイツ	太田4丁目3-1	6.4	RC	5
長友ビル	太田4丁目2-22	6.9	RC	5
第2サンハイツ	太田 4丁目3-30	6.4	RC	3
村上屋ビル	中村東	6.3	RC	4
ビジネスホテル有明	中村東2丁目5-16	6.8	S	3
アカネアネックス宮崎	太田3丁目3-10	6	RC	3
ＭＴＫＢＬＤ	大淀1丁目5-10	4.5	RC	7
パワーステージ中村	中村東2丁目4-3	6.3	RC	9
ヴェルデクス大淀河畔	福島町3-94-1	11.2	RC	5
公務員団地大塚住宅(1～3棟)	大塚町流合5056-1	6.8	RC	5
シャンテ長沼Ⅱ	大塚町竹原2046-1	8	RC	5
県営住宅大塚A6棟	大塚町地蔵田4651	8	RC	4
県営住宅大塚B4棟	大塚町馬場崎3563	8.4	RC	3
県営住宅大塚C6棟	大塚町乱橋4512	10.5	RC	8
サンマンション大塚	大塚町窪田3272	5.8	RC	8
あさひ保育園	大塚町八所3606-7	10	RC	2
GREAT・S-7	大塚町浜川田4912-1	6.5	RC	4
日高マンション	大塚町窪田3321-4	8.9	S	4
おおつかの杜リハビリテーションふれあいセンター	大塚町池ノ内1199	10.9	RC	4
コアマンション大塚	大塚町正市5590-1	7.1	SRC	11
コアマンション大塚Ⅱ	大塚町水流5188-2	5.8	RC	10
シーサイドエコー	大字田吉字西前島1881-1	2.5	RC	4
松永組運送㈱	大字田吉2478-4	2.7	RC	3
宮崎空港ビル株式会社	赤江(宮崎空港内)	4.4	SRC	4
セントヒルズマリーナ宮崎壱番館	大字赤江1247	2.9	RC	8
セントヒルズマリーナ宮崎弐番館	大字赤江1369	3.3	RC	8
南九州短期大学学生寮	大字田吉6307-1	2.5	RC	4
ほんごうマンション	大字本郷南方4016	10.4	RC	4
介護老人保健施設ことぶき苑	大字本郷北方4043-1	16.6	RC	4
サンケイマンション第4ビル	恒久6-3-27	3.5	RC	8
サニーコート	大字本郷北方1183	4.8	RC	3
サニーコートⅡ	大字本郷北方1319-2	4.8	RC	4
ライフピア瑞光苑	大字本郷南方4046-2	4	RC	4
パームコートマンション	大字田吉6269-1	3.3	RC	8
ハイツひまわり	大字田吉6241-1	3.1	RC	6
くどみ保育園	大字郡司分2202-2	4.2	RC	3
シャトレ田吉	城ヶ崎4丁目8-11	4.8	RC	4
シャトレ城ヶ崎	城ヶ崎3丁目16-1	5.2	RC	4
日本アランダム㈱宮崎営業所	恒久南3丁目4-2	3.9	RC	4
メモリースリー	恒久4丁目14-１	4.6	RC	3
コスタ飛江田	大字赤江1556	2.1	RC	3
河野内科呼吸器科医院	恒久南3丁目214-10	6.4	RC	3
マンションウッド・テック	大字田吉6187-1	3.3	RC	8
ラ・フォンテーヌ	城ヶ崎3丁目17-6	5.2	RC	4
ハートピュア宇和田	城ヶ崎4丁目11-7	4	RC	3
城ヶ崎マンション	恒久4丁目10-1	5	RC	3
バグースヒルズ	大字本郷南方4191-1	7.8	RC	3
サンピュアネス	城ヶ崎4丁目6-12	4.5	RC	3
押川コーポ	恒久南2丁目14-11	6.3	RC	4
市営住宅飛江田団地16棟	宮崎市大字赤江409	3.6	RC	5
市営住宅立和原団地2棟	宮崎市大字本郷南方2919-1	8	RC	4
市営住宅立和原団地2棟	宮崎市大字本郷南方3207	8	RC	4
リバーサイドマンション	城ヶ崎4-1-18	3.7	RC	6
県営住宅本郷南7棟	宮崎市本郷南方4023	9.3	RC	3
本山ビル	城ヶ崎2丁目17-5	6.1	RC	5
第3ヤヨイコーポ	恒久南3丁目11-37	4.2	RC	3
社団法人宮崎県トラック協会総合研修会館	恒久1丁目7-21	6.5	RC	2
ドエルクシマ	恒久南4丁目243-1	6.4	RC	4
国富ホーム	大字本郷南方5	4.1	RC	3
創価学会宮崎平和会館	城ヶ崎4-1-9	3.6	RC	5
リージェントマンション	大字恒久997	6.2	RC	4
MAC城ヶ崎コート	恒久6丁目1-8	3.8	RC	8
レ・ビラージュ	大字田吉291-3	5.7	RC	7
グランドパレス城ヶ崎	恒久3丁目2-4	5.2	RC	7
コーポ松田2	恒久南3丁目12-17	4.1	RC	3
Ｃｏｍｏｄｏ	恒久南3丁目7-21	5	RC	3
JHCマンション	恒久南2丁目9-11	5.5	RC	4
フラット横山	恒久南3丁目10-25	4.8	RC	3
県警職員宿舎恒久南職員住宅	恒久南1丁目13-3	6.3	RC	4
県警職員宿舎恒久待機宿舎	恒久南1丁目13-3	6.3	RC	4
特別養護老人ホーム城ヶ崎小戸の家	城ヶ崎3丁目3-3	4.5	RC	5
ケアヴィレッタナチュらいふ恒久	大字恒久5314-5	7.1	RC	3
クリニックうしたに	大字恒久5065	7.1	RC	3
クレールマンション	大字恒久4301-1	6	RC	10
月見ヶ丘教職員住宅	月見ヶ丘4丁目314	25.3	RC	2
小川マンションＡ棟	城ヶ崎3丁目14-8	6	RC	4
小川マンションＢ棟	城ヶ崎3丁目14-9	6.3	RC	4
パークサイド城ヶ崎	恒久4丁目11-5	4.5	RC	3
ナーシェル	城ヶ崎2丁目7-16	6.8	RC	4
蛎原避難タワー	郡司分字内蛎原甲5227-36	1.9	RC	4
独立行政法人国立病院機構宮崎東病院	大字田吉4374-1	7.6	RC	6
宮交シティ	大淀4丁目6-28	6.5	RC	5
宮崎県総合運動公園サンマリンスタジアム	大字熊野1443-12	3.2	RC	2
老人保健施設グリーンケア	大字熊野470-2	2.5	RC	3
ゴールデンレイク	大字加江田4514-2	22	RC	3
ホワイトスクエア	大字熊野10363	4	RC	3
ジョイス	大字熊野9932-1	3	RC	3
ガレージⅡ	大字熊野498-1	3	RC	4
ドムス繪所	大字熊野501-1	3	RC	4
サンライズＭＩＣＨＩ	大字熊野9964-3	3	RC	3
サンコーポくんぱち	大字熊野642-1	3	RC	3
ベルハイムエルステ	大字熊野487-1	3	RC	7
ドムス澤田Ⅰ	大字熊野607	3	RC	4
ドムス澤田Ⅱ	大字熊野607	3	RC	4
島山地区複合型津波避難施設	大字熊野1374-43	2.3	RC	3
あおしま優亜館（新館）	大字加江田4910	6.2	RC	3
青島グランドホテル	青島1-16-64	5.1	SRC	7
青島シルバー苑、青島クリニック	青島4-6-3	4.8	SRC	4
グランマリン	青島西1-6-15	6.7	RC	8
ドルフィン	青島西1-6-13	6.7	RC	8
ラメールブルー	青島西2-2-7	7.6	RC	7
ロコビーチ	青島1丁目75	5.8	RC	4
ANAホリデイ・インリゾート 宮崎	青島1丁目16-1	4.5	SRC	10
道の駅フェニックス	大字内海字三池381-1	48.3	RC	3
青島地域総合センター	青島西2丁目1	14	SRC	3
宮崎日大学園学生寮桜俊館	大字新名爪1206	13	RC	4
県営住宅住吉北7棟	大字島之内11000北	9.4	RC	4
潤和会記念病院	大字小松1119北7南	6.5	RC	6
アビタシオン宮本	佐土原町下田島12219-40	9.4	RC	6
介護療養医療施設佐土原病院	佐土原町上田島3873	5.6	RC	3
GardenCityヴァンサンカン	佐土原町下那珂695-8	4.6	RC	3
EKビルⅡ	佐土原町下田島12220-3	10.4	RC	4
MY・エスポアール	佐土原町上田島3757-2	7.7	RC	3
久留米運送株式会社宮崎流通センター	佐土原町下田島4-18604	5.4	RC	6
シーサイド石崎	佐土原町下那珂617-3	4.9	RC	3
県営住宅松小路Ａ3棟	佐土原町下田島9526-2	10.1	RC	3,6
サンフローラTM	佐土原町下田島9511-1	10.2	RC	3
サンフローラTMⅡ	佐土原町下田島9504	10.2	RC	3
サンフローラTMⅢ	佐土原町下田島9689-1	11.2	RC	3
BLUECIEL	佐土原町下那珂1247	6.3	RC	4
ホンダロック厚生棟	佐土原町下那珂3700	6.3	S	3
ホンダロック試験棟	佐土原町下那珂3700	6.3	S	2
リリービラⅠ	佐土原町下田島19664-1	4	RC	3
二ツ立避難タワー	佐土原町下田島15165-1	2.2	RC	4
ＨＯＴＥＬＡＺ宮崎佐土原店	佐土原町松小路7-8	11.9	RC	10